kraj_kod;kraj_nazev;okres_kod;okres_nazev;orp_kod;orp_nazev;opou_kod;opou_nazev;obec_kod;obec_nazev
CZ041;Karlovarský kraj;CZ0412;Karlovy Vary;4106;Ostrov;41061;Ostrov;554979;Abertamy
CZ064;Jihomoravský kraj;CZ0641;Blansko;6401;Blansko;64011;Adamov;581291;Adamov (Blansko)
CZ031;Jihočeský kraj;CZ0311;České Budějovice;3102;České Budějovice;31021;České Budějovice;535826;Adamov (České Budějovice)
CZ020;Středočeský kraj;CZ0205;Kutná Hora;2004;Čáslav;20041;Čáslav;531367;Adamov (Kutná Hora)
CZ052;Královéhradecký kraj;CZ0523;Náchod;5201;Broumov;52012;Teplice nad Metují;547786;Adršpach
CZ080;Moravskoslezský kraj;CZ0803;Karviná;8008;Havířov;80081;Havířov;598925;Albrechtice (Karviná)
CZ053;Pardubický kraj;CZ0534;Ústí nad Orlicí;5306;Lanškroun;53061;Lanškroun;547981;Albrechtice (Ústí nad Orlicí)
CZ052;Královéhradecký kraj;CZ0524;Rychnov nad Kněžnou;5208;Kostelec nad Orlicí;52082;Týniště nad Orlicí;576077;Albrechtice nad Orlicí
CZ031;Jihočeský kraj;CZ0314;Písek;3108;Písek;31083;Písek;549258;Albrechtice nad Vltavou
CZ051;Liberecký kraj;CZ0512;Jablonec nad Nisou;5108;Tanvald;51081;Tanvald;563528;Albrechtice v Jizerských horách
CZ080;Moravskoslezský kraj;CZ0804;Nový Jičín;8001;Bílovec;80012;Studénka;568741;Albrechtičky
CZ071;Olomoucký kraj;CZ0713;Prostějov;7108;Prostějov;71082;Prostějov;506761;Alojzov
CZ080;Moravskoslezský kraj;CZ0801;Bruntál;8003;Bruntál;80031;Bruntál;551929;Andělská Hora (Bruntál)
CZ041;Karlovarský kraj;CZ0412;Karlovy Vary;4103;Karlovy Vary;41031;Karlovy Vary;538001;Andělská Hora (Karlovy Vary)
CZ053;Pardubický kraj;CZ0534;Ústí nad Orlicí;5306;Lanškroun;53061;Lanškroun;573426;Anenská Studánka
CZ064;Jihomoravský kraj;CZ0645;Hodonín;6410;Kyjov;64103;Ždánice;586030;Archlebov
CZ063;Kraj Vysočina;CZ0633;Pelhřimov;6310;Pelhřimov;63102;Pelhřimov;509388;Arneštovice
CZ063;Kraj Vysočina;CZ0632;Jihlava;6305;Jihlava;63052;Polná;586854;Arnolec
CZ042;Ústecký kraj;CZ0421;Děčín;4202;Děčín;42023;Děčín;562343;Arnoltice
CZ041;Karlovarský kraj;CZ0411;Cheb;4101;Aš;41011;Aš;554499;Aš
CZ052;Královéhradecký kraj;CZ0521;Hradec Králové;5212;Nový Bydžov;52121;Nový Bydžov;569828;Babice (Hradec Králové)
CZ071;Olomoucký kraj;CZ0712;Olomouc;7110;Šternberk;71101;Šternberk;552356;Babice (Olomouc)
CZ020;Středočeský kraj;CZ0209;Praha-východ;2022;Říčany;20223;Říčany;538043;Babice (Praha-východ)
CZ031;Jihočeský kraj;CZ0315;Prachatice;3109;Prachatice;31091;Netolice;537241;Babice (Prachatice)
CZ063;Kraj Vysočina;CZ0634;Třebíč;6306;Moravské Budějovice;63062;Moravské Budějovice;590274;Babice (Třebíč)
CZ072;Zlínský kraj;CZ0722;Uherské Hradiště;7207;Uherské Hradiště;72072;Uherské Hradiště;592013;Babice (Uherské Hradiště)
CZ064;Jihomoravský kraj;CZ0643;Brno-venkov;6416;Šlapanice;64161;Šlapanice;582794;Babice nad Svitavou
CZ064;Jihomoravský kraj;CZ0643;Brno-venkov;6414;Rosice;64141;Rosice;582808;Babice u Rosic
CZ032;Plzeňský kraj;CZ0321;Domažlice;3202;Domažlice;32021;Domažlice;553433;Babylon
CZ063;Kraj Vysočina;CZ0633;Pelhřimov;6310;Pelhřimov;63102;Pelhřimov;561118;Bácovice
CZ052;Královéhradecký kraj;CZ0522;Jičín;5207;Jičín;52072;Kopidlno;553701;Bačalky
CZ052;Královéhradecký kraj;CZ0524;Rychnov nad Kněžnou;5202;Dobruška;52021;Dobruška;576085;Bačetín
CZ063;Kraj Vysočina;CZ0634;Třebíč;6313;Třebíč;63131;Hrotovice;590282;Bačice
CZ063;Kraj Vysočina;CZ0631;Havlíčkův Brod;6302;Havlíčkův Brod;63022;Havlíčkův Brod;546194;Bačkov
CZ063;Kraj Vysočina;CZ0634;Třebíč;6306;Moravské Budějovice;63061;Jemnice;544833;Bačkovice
CZ020;Středočeský kraj;CZ0207;Mladá Boleslav;2015;Mladá Boleslav;20153;Mladá Boleslav;535427;Bakov nad Jizerou
CZ063;Kraj Vysočina;CZ0635;Žďár nad Sázavou;6314;Velké Meziříčí;63142;Velké Meziříčí;595217;Baliny
CZ031;Jihočeský kraj;CZ0317;Tábor;3112;Tábor;31124;Tábor;563251;Balkova Lhota
CZ053;Pardubický kraj;CZ0533;Svitavy;5312;Svitavy;53121;Svitavy;572560;Banín
CZ072;Zlínský kraj;CZ0722;Uherské Hradiště;7208;Uherský Brod;72082;Uherský Brod;592021;Bánov
CZ031;Jihočeský kraj;CZ0313;Jindřichův Hradec;3104;Dačice;31041;Dačice;562726;Báňovice
CZ064;Jihomoravský kraj;CZ0647;Znojmo;6420;Znojmo;64203;Znojmo;593729;Bantice
CZ052;Královéhradecký kraj;CZ0521;Hradec Králové;5212;Nový Bydžov;52121;Nový Bydžov;569836;Barchov (Hradec Králové)
CZ053;Pardubický kraj;CZ0532;Pardubice;5309;Pardubice;53092;Pardubice;574724;Barchov (Pardubice)
CZ020;Středočeský kraj;CZ0204;Kolín;2010;Kolín;20102;Kouřim;533173;Barchovice
CZ080;Moravskoslezský kraj;CZ0804;Nový Jičín;8015;Nový Jičín;80152;Nový Jičín;599212;Bartošovice
CZ052;Královéhradecký kraj;CZ0524;Rychnov nad Kněžnou;5213;Rychnov nad Kněžnou;52131;Rokytnice v Orlic.horách;576093;Bartošovice v Orlických horách
CZ063;Kraj Vysočina;CZ0631;Havlíčkův Brod;6302;Havlíčkův Brod;63022;Havlíčkův Brod;548260;Bartoušov
CZ072;Zlínský kraj;CZ0721;Kroměříž;7203;Kroměříž;72034;Kroměříž;588300;Bařice-Velké Těšany
CZ080;Moravskoslezský kraj;CZ0802;Frýdek-Místek;8006;Frýdek-Místek;80061;Frýdek-Místek;598011;Baška
CZ052;Královéhradecký kraj;CZ0522;Jičín;5204;Hořice;52041;Hořice;572667;Bašnice
CZ020;Středočeský kraj;CZ0209;Praha-východ;2003;Brandýs n.L.- St.Boleslav;20033;Odolena Voda;538051;Bašť
CZ063;Kraj Vysočina;CZ0632;Jihlava;6305;Jihlava;63053;Třešť;586862;Batelov
CZ052;Královéhradecký kraj;CZ0525;Trutnov;5214;Trutnov;52143;Úpice;579041;Batňovice
